Intent	Sentence
MAKE_PIZZA	i 'll make the third pizza a <size> large </size> <pizza_type> meat lovers </pizza_type> , please
MAKE_PIZZA	may i get <quant> three </quant> <size> 14 inch </size> pizzas
MODIFY_ORDER_MODALITY	hi , this is ali here can you change my order to <modality> take out </modality>
MODIFY_ORDER_MODALITY	hi , this is is lissa can i change my order to <modality> take out </modality> , please
MAKE_PIZZA	give me two pizzas on <crust> regular </crust> crust . make them <size> large </size> , please
GREET	hello ,
MODIFY_ORDER_MODALITY	hey , how 's it going ? my name is is soumya can you , please change my order to <modality> delivery </modality>
MAKE_PIZZA	let 's make the second one a <pizza_type> veggie supreme </pizza_type> . a <size> small </size>
ADD_ATTRIBUTE	add red onion to the other half of the second one
ORDER_PREFERRED	could i order my preferred order also i 'd like to remove olives from it
ORDER_PREFERRED	may i order my most frequent order also i 'd like to get a uh <quant> 14 </quant> <size> inch </size> <pizza_type> hawaiian </pizza_type>
ORDER_PREFERRED	order my pizza order also can i add green <topping> olives </topping> to it
ADD_ATTRIBUTE	i 'll have no red onion on the second half of the first one
MAKE_PIZZA	can i get a <pizza_type> supreme </pizza_type> on <crust> gluten free </crust> crust for the first one . let 's go with a <size> 10 inch </size>
MAKE_PIZZA	i 'll take a <pizza_type> uhm veggie supreme </pizza_type> for the fourth pizza , please . and let 's do <quant> 12 </quant> <size> inch </size>
ORDER_PREFERRED	please place another order for my pizza order also i 'd like to order a <pizza_type> hawaiian </pizza_type> . make it <size> 12 inch </size>
ADD_MODALITY	i 'd like a <modality> take out </modality> order
MODIFY_ORDER_MODALITY	hey , how 's it going ? i 'll change my order to take-out , please
GREET	hello ,
MAKE_PIZZA	i 'd like to get a <pizza_type> 4 </pizza_type> cheeses on <crust> deep dish </crust> for the first pizza
MAKE_PIZZA	i 'll take two pizzas on <crust> thin </crust> crust
MODIFY_ORDER_MODALITY	hello , this is rahul here can i , please change my order to <modality> pick up </modality>
ORDER_PREFFERED	can i reorder my most frequent order again , please also may i order a <size> medium </size> <pizza_type> 4 cheese </pizza_type>
MAKE_PIZZA	i want a <size> large </size> <pizza_type> 5 cheese </pizza_type> on <crust> gluten free </crust> for the third pizza , please
MODIFY_ORDER_MODALITY	hello , i 'm is danko can you change my order to take-out , please
MODIFY_ORDER_MODALITY	hello , i uhm ... have an order for <quant> two </quant> <size> 14 inch </size> pizzas on crust , a <pizza_type> 4 </pizza_type> cheeses and a <pizza_type> 4 cheese </pizza_type> can i uh ... change my order to <modality> take out </modality>
ADD_MODALITY	i 'd like to place an order for <modality> pick up </modality>
ADD_ATTRIBUTE	please add <topping> green olives </topping> to the right half of the third one
MAKE_PIZZA	i 'll order uh ... <quant> two </quant> pizzas . i 'll go with medium for all of them , please
REQUEST_COST_OF	may i get <quant> two </quant> pizzas on <crust> deep dish </crust> . i 'd like a <pizza_type> meat lovers </pizza_type> for the first pizza . and let 's do 12 inch , please let 's make the second one a uh <pizza_type> meat lovers </pizza_type> , please . make it <size> large </size> . how much is that gon na cost ?
MAKE_PIZZA	can i order uhm five pizzas . all of them 10 inch , please
ADD_ATTRIBUTE	may i add <topping> mushrooms </topping> to the first half of the third one
ADD_ATTRIBUTE	remove olives from the other half of the first one
MODIFY_ORDER_MODALITY	hey , how 's it going ? this is logan here can you , please switch my order to <modality> delivery </modality>
MAKE_PIZZA	can i order three pizzas on <crust> regular </crust> , please . i 'll go with medium for all of them
MODIFY_ORDER_MODALITY	hello , this is lissa here can you change my order to <modality> delivery </modality>
MAKE_PIZZA	i 'll order two pizzas . all of them <size> medium </size>
ADD_PIZZA	i want to remove extra <topping> ham </topping> from the left half of the first one
ADD_ATTRIBUTE	remove double the amount of pepperoni from the third pizza
ADD_MODALITY	i 'd like to place an order for <modality> take out </modality>
ADD_ATTRIBUTE	add provolone to the other half of the second pizza
ADD_ATTRIBUTE	i 'll make the second one a uhh <pizza_type> veggie supreme </pizza_type> . a <size> 12 inch </size>
ORDER_PREFERRED	please place an order for my most common also i 'd like to get a uhm <quant> 14 </quant> <size> inch </size> <pizza_type> pepperoni </pizza_type> on <crust> thin </crust> crust , please
MAKE_PIZZA	let 's make the second one a <size> 12 inch </size> <pizza_type> hawaiian </pizza_type> on <crust> regular </crust> , please
MAKE_PIZZA	the second pizza i 'll do a vegan on <crust> regular </crust> . a <size> small </size>
MODIFY_ORDER_MODALITY	hi , i 'll i 'll switch my order to <modality> delivery </modality> , please
MAKE_PIZZA	i need <quant> three </quant> <size> small </size> pizzas on <crust> thin </crust> crust
MAKE_PIZZA	i 'd like to get a vegetarian for the second pizza . a <size> small </size>
ADD_ATTRIBUTE	can i remove green peppers from the left half of the first one
MAKE_PIZZA	i need <quant> three </quant> pizzas on <crust> regular </crust> crust . i 'll go with <quant> 14 </quant> <size> inch </size> for all of them
MODIFY_ORDER_MODALITY	hi , this is daniel here can you change my order to <modality> pick up </modality>
ORDER_PREFERRED	reorder my favorite pizza order also i 'll have a uhm ... <size> small </size> <pizza_type> veggie supreme </pizza_type> , please
MAKE_PIZZA	for the third pizza i 'd like a uh hawaiian on <crust> gluten free </crust> crust , please . a <size> medium </size>
ORDER_PREFERRED	could i place another order for my most common also give me a <size> 14 inch </size> <pizza_type> hawaiian </pizza_type> on <crust> gluten free </crust> crust , please
ADD_ATTRIBUTE	i want to remove extra <topping> ham </topping> from the second pizza
MODIFY_ORDER_MODALITY	hi , can i change my order to <modality> delivery </modality> , please
ORDER_PREFERRED	could i place an order for my most frequent order also please add <topping> bacon </topping> to it
MAKE_PIZZA	may i order a <pizza_type> hawaiian </pizza_type> on thin for the second one , please . and let 's do small
ADD_ATTRIBUTEE	can i remove italian <topping> sausage </topping> from the one half of the third pizza
ORDER_PREFERRED	could i get my most common also can i get <quant> no </quant> <topping> red onions </topping> on it
MAKE_PIZZA	can i get a uhm ... vegan for the second one
ORDER_PREFERRED	i 'd like to place another order for my preferred pizza order also also get no mozzarella on one half
ORDER_PREFERRED	may i place an order for my favorite also i want to remove <topping> onions </topping> from it
MAKE_PIZZA	can i order a uhh vegan for the first one , please
MODIFY_ORDER_MODALITY	hey , how 's it going ? this is is soumya can you change my order to <modality> take out </modality>
ADD_ATTRBUTE	i 'd like to remove extra <pizza_type> pepperoni </pizza_type> from the second half of the second pizza
ORDER_PREFERRED	reorder my preferred also please add <topping> pineapple </topping> to the right half
ORDER_PREFERRED	can i reorder my favorite pizza order again also i 'll have a <size> large </size> <pizza_type> vegan </pizza_type>
MODIFY_ORDER_MODALITY	hi , can you , please switch my order to take-out
MODIFY_ORDER_MODALITY	hi , can i switch my order to <modality> take out </modality> , please
MODIFY_ORDER_MODALITY	hey , how 's it going ? my phone number is 206-555-1230 i 'd like to change my order to take-out
MAKE_PIZZA	i want to order a uh ... <quant> 10 </quant> <size> inch </size> <pizza_type> pepperoni </pizza_type> on <crust> gluten free </crust> for the second one , please
ORDER_PREFERRED	please order my usual pizza also i 'd like to order a uh ... <size> medium </size> <pizza_type> hawaiian </pizza_type>
ORDER_PREFERRED	may i order my favorite pizza order , please also remove sliced <topping> ham </topping> from the first half
ORDER_PREFERRED	could i place another order for my most frequent also please add double the amount of pepperoni to the first half
GREET	hello ,
START_ORDERING	i want to order two pizzas , please
ORDER_PREFERRED	please place an order for my favorite order also please remove canadian <topping> bacon </topping> from it
MODIFY_ORDER_MODALITY	hey , how 's it going ? my name is is lissa can you change my order to <modality> take out </modality>
MODIFY_ORDER_MODALITY	hello , i 'll i 'll switch my order to <modality> pick up </modality>
ORDER_PREFERRED	get my usual pizza again also may i get a <pizza_type> meat lovers </pizza_type> . make it <size> medium </size> , please
MAKE_PIZZA	may i order a uhh ... vegan for the third one . let 's go with a <size> small </size>
MODIFY_ORDER_MODALITY	hi , i 'll switch my order to <modality> take out </modality>
GREET	hi ,
MAKE_PIZZA	i 'll take uh ... <quant> five </quant> <size> 12 inch </size> pizzas on <crust> thin </crust> crust , please
MAKE_PIZZA	the second pizza i 'll do a uh ... hawaiian on <crust> thin </crust> . a <size> large </size>
MAKE_PIZZA	may i get a uhm all cheese on <crust> regular </crust> crust for the third one . let 's go with a <size> 12 inch </size>
MAKE_PIZZA	for the second one i 'd like a <pizza_type> uhm meat lovers </pizza_type> on <crust> gluten free </crust> crust , please . let 's go with a <size> 10 inch </size>
ORDER_PREFERRED	i 'd like to place an order for my favorite again also i want to order a uh <pizza_type> pepperoni </pizza_type> . make it <size> medium </size> , please
ORDER_PREFERRED	i 'd like to place an order for my favorite pizza again also give me a <pizza_type> pepperoni </pizza_type> on <crust> gluten free </crust>
ORDER_PREFERRED	order my preferred order again also i need to remove sausage from one half
MAKE_PIZZA	i need uh ... <quant> two </quant> pizzas . make them <size> 14 inch </size> , please
MAKE_PIZZA	let 's make the third one a uhh <pizza_type> pepperoni </pizza_type> . make it <size> 10 inch </size> , please
MAKE_PIZZA	i want to order four pizzas , please . make them <size> large </size>
ADD_ATTRIBUTE	i want to add bacon to the other half of the first one
MAKE_PIZZA	i 'll make the third one a uhm ... <size> medium </size> <pizza_type> pepperoni </pizza_type> on <crust> thin </crust> crust
ADD_MODALITY	hello , may i place an order for <modality> take-out </modality> , please
MAKE_PIZZA	i want to order two pizzas on <crust> thin </crust> . make them <size> 14 inch </size>
MAKE_PIZZA	i 'll make the first pizza a <pizza_type> hawaiian </pizza_type> . make it <size> 12 inch </size> , please
MAKE_PIZZA	may i get uh <quant> two </quant> <size> large </size> pizzas , please
