Intent	Sentence
REQUEST_LISTING	hi ! do you have any soda ?
ADD_PAYMENT_ATTRIBUTE	okay . so the card is mycard numbers one-two-three-four-five and the expiration is the end of the year .
ADD_MODALITY	<modality> delivery </modality> ****** .
ADD_MODALITY	the first options you listed sound fine . and can you vary the crusts as well ? we ’ ll need to <modality> pick up </modality> at 2pm .
MAKE_PIZZA	hi i ’ ve got ****** ****** order for you . i am gon na need <quant> ****** </quant> <size> large </size> <crust> gluten free </crust> pizza , half ****** half <pizza_type> meat lover </pizza_type> ’ s with extra <topping> mushrooms </topping> . <quant> one </quant> <size> medium </size> <pizza_type> cheese </pizza_type> pizza , nothing special , <quant> one </quant> <size> large </size> <pizza_type> veggie supreme </pizza_type> , <quant> one </quant> <size> small </size> <pizza_type> vegan </pizza_type> <crust> thin </crust> crust , and <quant> two </quant> <size> large </size> <pizza_type> pepperoni </pizza_type> ****** <crust> deep dish </crust>
ADD_TO_ORDER	i want another type of pizza , please
THANK	thanks
REQUEST	can you have that ready in <time> fifteen minutes </time> ?
ADD_PAYMENT_ATTRIBUTE	the card number is one-two-three-four-five and the expiration is end of the ****** .
ADD_PERSONAL	my name is <name> yara grey </name>
ADD_TO_ORDER	yes , you remembered great . can you have that ready in <time> 30 minutes </time> ? and throw in an ****** pop today too ?
UNDEFINED	ring ring
ORDER_PREFERRED	can i get my usual order again
UNDEFINED	i… just a second…
ORDER_PREFERRED	can i place another order for my previous pizza ****** , please
ADD_PERSONAL	alex
CONFIRM	that.s right
CHECK_ORDER_STATUS	when do you think ****** pizza order will be ready ?
MAKE_PIZZA	can i please get <quant> one </quant> <size> large </size> <pizza_type> hawaiian </pizza_type> pizza with <topping> extra sausage </topping> ?
ADD_ATTRIBUTE	oh actually just the <quant> three </quant> <size> separate </size> <pizza_type> 4 cheese </pizza_type> pizzas . can i ****** <quant> 1 </quant> <size> large </size> , <quant> 1 </quant> <size> medium </size> , <quant> 1 </quant> <size> small </size> ?
UNDEFINED	hi , this is angela , i called just now about some <pizza_type> pepperoni </pizza_type> pizzas for <modality> pickup </modality> ?
UNDEFINED	do n't worry about the total
ADD_PERSONAL	yeah , um , it.s uh , <name> jonathan ives </name>
UNDEFINED	okay , maybe next ****** i ****** just buy my own <topping> pineapple </topping> at home , put it on .
ADD_PERSONAL	use ****** , please
MAKE_PIZZA	can i get a <size> medium </size> <pizza_type> 4 cheese </pizza_type> , please ?
UNDEFINED	so ****** need
UPDATE	sorry - actually just the small pizza and breadsticks please .
REQUEST_LISTING	yeah , yeah , um can i get a ... d-do you have the 2-liter bottles ?
ADD_PERSONAL	my name is <name> john </name> .
ADD_MODALITY	<modality> pickup </modality> ! i want <quant> 3 </quant> pizzas actually , no drinks or anything else
UPDATE_MODALITY	actually i was hoping to get it <modality> del [ ivered ] </modality>
MAKE_PIZZA	okay then i will place a <modality> pick up </modality> order for a <size> large </size> <pizza_type> hawaiian </pizza_type> pizza and a coke .
CONFIRM	sure , sure ****** do that
DENY	want the vegan pizza with <topping> ham bacon sausage </topping> and <topping> pepperoni </topping>
INFORM	oh - classic . alright , i ’ ****** have ****** of those !
ORDER_PREFERRED	could ****** reorder my ****** pizza order
DEPART	you ****** .
CONFIRM	yes shush for ****** second
UNDEFINED	no the dog doesn ’ t want to eat that missy
ADD_MODALITY	<modality> take out </modality> , please <
GREET	hi ,
ORDER_PREFERRED	i 'd like ****** place another order for my usual pizza order , please
INFORM	ok , not a big veggie guy , but that could be good . let ’ s give it a shot .
THANK	thanks john ! !
UPDATE_ATTRIBUTE	on second thought ****** you make all of the <size> large </size> ’ s gluten free ******
ADD_PERSONAL	use loganv , please
REQUEST	alright , are you ready ?
CONFIRM	perfect . perfect , let.s do it
UNDEFINED	cuz i 've ****** been like calling different restaurants ****** ****** yours look like you have the best pizzas , so i think i 'm going to place an order with you , but i wan na kind of minimize the price . so i ’ m gon na go for just the toppings that are <cost> two dollars </cost> um
ADD_ATTRIBUTE	and <topping> spinach </topping>
UNDEFINED	did you get that ?
REQUEST_LISTING	if you can have a ****** crust ?
ADD_PAYMENT_ATTRIBUTE	and um uh my ****** code for that ****** <numeric> 000 </numeric> and the ****** is <numeric> 12/12 </numeric> .
MAKE_PIZZA	i ****** to place a <modality> delivery </modality> order for ****** ****** ****** s birthday party tonight at 6. we ****** <quant> 5 </quant> <size> large </size> <pizza_type> pepperoni </pizza_type> and <quant> 5 </quant> <size> large </size> <pizza_type> cheese </pizza_type> pizzas ****** 2 liters of lemon soda , and 2 liters of cola . ****** one order of breadsticks . and the address is 54321 st seattle . the passcode for the gate is <numeric> 1234 </numeric> # .
MAKE_PIZZA	ummmm hang on let me ask . okay ****** think . we want cheese , a <pizza_type> cheese </pizza_type> pizza , and a uh half ****** half mushroom ?
MAKE_PIZZA	<quant> two </quant> <size> large </size> pizzas , can i get ****** with <topping> spinach </topping> and tomatoes and one with <topping> sausage </topping> ?
UNDEFINED	yeah um , they ’ re not necessarily better . oh wow , the-the meat the <topping_type> meat </topping_type> toppings are ****** more expensive and wow okay so this is going to get expensive with <quant> seven </quant> pizzas , um , ****** .
CONFIRM	yes
REQUEST_LISTING	uh are you sure that you don.t have pasta cause i.m pretty sure that i.ve called a domino.s before and they had pasta ******
ADD_PERSONAL	my address is <address> 12345 st </address> . did you get that ?
GREET	hello ?
MAKE_PIZZA	hi , do ****** -- can i ****** can ****** get a <size> small </size> pizza , just cheese . and is your sauce like a flavorful -- do you have like a spicy sauce and a super plain sauce like just tomato
GREET	hi ,
MAKE_PIZZA	okay i would like a <pizza_type> veggie supreme </pizza_type> pizza , with <topping> pineapple </topping> , too , on a <size> medium </size> <crust> gluten free </crust> crust . and that ****** be all .
START_ORDERING	hi , i 'd ****** to order pizza today .
GREET	hello ?
START_ORDERING	hi uh i was coming to pick up an order of one <topping> pineapple </topping> and <topping> ham </topping> pizza
ADD_MODALITY	<modality> pickup </modality> ! my card information is <numeric> 3334 , 11/12 , 555 </numeric> , and my name is <name> jimmy doe </name>
UPDATE_PERSONAL	it 's 206-555-1234 <
DENY	um no , i am – uhh that is ****** that is all .
ADD_PERSONAL	****** , angela
REQUEST_COST_OF	okay , ****** 's perfect . thank you . and how much does that one cost ******
ADD_MODALITY	<modality> delivery </modality> , ******
ADD_MODALITY	beautiful . pickup please !
ADD_MODALITY	and i.ll get that for <modality> pickup </modality> .
REQUEST_LISTING	do you have any <side> pasta </side>
ADD_PERSONAL	okay , my card is <numeric> 1234 1234 1234 1234 </numeric> , the name ****** <name> john john </name> . can you have that delivered to <address> 12345 st </address> . ?
CHECK_ORDER_STATUS	can you , please ****** up my order ?
MAKE_PIZZA	i 'll take a uh <size> large </size> <pizza_type> veggie supreme </pizza_type>
THANK	thanks
THANK	thank you !
MAKE_PIZZA	hi , can i get a <size> small </size> <pizza_type> 4 cheese </pizza_type> , please ?
ADD_PERSONAL	yeah for sure , so i 'm right next to greenlake , ****** 'm at <address> 555 , um , green lake avenue </address> ( clears throat ) and the zip ****** is <numeric> 98103 </numeric>
MAKE_PIZZA	sorry i will need <quant> two </quant> <size> large </size> <pizza_type> cheese </pizza_type> pizzas and <quant> two </quant> <beverage> ****** </beverage> <modality> delivered </modality> to <address> 12345 st </address> .
MAKE_PIZZA	i 'll get a <pizza_type> uhm meat lovers </pizza_type> . make it <size> small </size>
UPDATE_MODALITY	ugh i i ca ****** ****** <quant> three </quant> dollars i 'm sorry change ****** to pick ******
ADD_PAYMENT_ATTRIBUTE	so , my card information is <numeric> 000 </numeric> and expiration date <numeric> 07/11 </numeric> , and then name is <name> avery </name>
ADD_MODALITY	<modality> pick up </modality> from your laurelhurst shop ****** be great
ADD_PERSONAL	<name> john doe </name>
THANK	thanks
CONFIRM	okay
UNDEFINED	um
UNDEFINED	that ’ s the best price i ’ ve seen in years . john i got ta tell you they don ’ t make pizza places like this anymore ******
DEPART	you too ! bye
CHECK_ORDER_STATUS	when will my order be delivered ?
ADD_PAYMENT_ATTRIBUTE	yup , the number is <numeric> 5667 </numeric> , and the security code is <numeric> 124 </numeric>
CONFIRM	****** works yep ,
ADD_MODALITY	hi , i just wanted to see if i can ****** an order for <modality> delivery </modality> . ( clears throat )
UPDATE_ATTRIBUTE	okay i will take two of the <crust> thin </crust> crusts then .
REQUEST_LISTING	yes , i would like to place a deliver order for <name> john </name> . do you have any <size> large </size> <pizza_type> vegan </pizza_type> pizzas that could be ready in less than <time> 15 minutes </time> ?
ADD_MODALITY	<modality> take-out </modality>
