Intent	Sentence
MAKE_PIZZA	Yeah for the second pizza and then. uh a <topping>mushroom</topping> and uh <topping>spinach</topping>? And <topping>feta</topping>? Do you have that?
CONFIRM	Yeah. That’s correct.
DEPART	Okay. Uh, alright bye.
THANK	thank you
REQUEST	 Okay! Thank you! How long will it take to get here? 
MAKE_PIZZA	i want to order a <pizza_type>pepperoni</pizza_type> on <crust>regular</crust>
REQUEST	 Sorry say that again? 
DENY	nope
REQUEST	Can you take it down now?
UNDEFINED	hold on I have to ask them
CONFIRM	 Yes! That's my order 
MAKE_PIZZA	can i get a <pizza_type>pepperoni</pizza_type>. make it <size>large</size>
ORDER_PREFERRED	"may i order my most frequent again, please"
MAKE_PIZZA	"i'd like to order a uh <pizza_type>meat lovers</pizza_type> on <crust>gluten free</crust> crust, please"
CONFIRM	 Excellent! 
ADD_PERSONAL	it's <number>206-555-8761</number>
ORDER_PREFERRED	could i get my most recent again
UNDEFINED	 Great! 
THANK	Great, thank you
GREET	"hi,"
ADD_PERSONAL	let's go with <name>jp</name>
UNDEFINED	Oof. Let me think here.
ORDER_PREFERRED	could i place another order for my most recent order
REQUEST_LISTING	Hi! Do you have any soda?
ADD_PAYMENT_ATTRIBUTE	Okay. So the card is mycard numbers <numeric>one-two-three-four-five</numeric> and the expiration is the end of the year.
ADD_MODALITY	<modality>Delivery</modality> please.
ADD_MODALITY	The first options you listed sound fine.  And can you vary the crusts as well?  We’ll need to <modality>pick up</modality> at <time>2pm</time>.
MAKE_PIZZA	Hi I’ve got a big order for you.  I am gonna need <quant>one</quant> <size>large</size> <crust>gluten free</crust> pizza, half <pizza_type>Hawaii</pizza_type> half <pizza_type>meat lover’s</pizza_type> with extra <topping>mushrooms</topping>.  One medium <pizza_type>cheese</pizza_type> pizza, nothing special, one <size>large</size> <pizza_type>veggie supreme</pizza_type>, one <size>small</size> <pizza_type>vegan</pizza_type> <crust>thin</crust> crust, and <quant>two</quant> <size>large</size> <pizza_type>pepperoni</pizza_type>, <crust>deep dish</crust>
ADD_TO_ORDER	"i want another type of pizza, please"
THANK	thanks
REQUEST	Can you have that ready in <time>fifteen minutes?</time>
ADD_PAYMENT_ATTRIBUTE	The card number is <numeric>one-two-three-four-five</numeric> and the expiration is end of the year.
ADD_PERSONAL	 My name is <name>Yara Grey</name>
ADD_TO_ORDER	Yes, you remembered great.  Can you have that ready in <time>30 minutes</time>?  And throw in an <beverage>orange pop</beverage> today too?
UNDEFINED	 ring ring 
ORDER_PREFERRED	can i get my usual order again
UNDEFINED	I… just a second…
ORDER_PREFERRED	can i place another order for my previous pizza again, please
ADD_PERSONAL	<name>Alex</name>
CONFIRM	That.s right
CHECK_ORDER_STATUS	when do you think my pizza order will be ready?
MAKE_PIZZA	Can I please get <quant>one</quant> <size>large</size> <pizza_type>Hawaiian</pizza_type> Pizza with <quant>extra</quant> <topping>sausage</topping>?
ADD_ATTRIBUTE	"Oh actually just the <quant>three</quant> separate <pizza_type>4 Cheese</pizza_type> pizzas. Can I get <quant>1</quant> <size>large</size>, <quant>1</quant> <size>medium</size>, <quant>1</quant> <size>small</size>?"
UNDEFINED	" Hi, this is <name>Angela</name>, I called just now about some <pizza_type>pepperoni</pizza_type> pizzas for <modality>pickup</modality>? "
UNDEFINED	don't worry about the total
ADD_PERSONAL	Yeah, um, it.s uh, <name>Jonathan Ives</name>
UNDEFINED	Okay, maybe next time I'll just buy my own <topping>pineapple</topping> at home, put it on.
ADD_PERSONAL	"use <name>danko</name>, please"
MAKE_PIZZA	"can i get a <size>medium</size> <pizza_type>4 cheese</pizza_type>, please ?"
UNDEFINED	So I need
UPDATE	Sorry - actually just the <size>small</size> pizza and <side>breadsticks</side> please.
REQUEST_LISTING	Yeah, yeah, um can I get a...d-do you have the <beverage>2-liter bottles</beverage>?
ADD_PERSONAL	My name is <name>John</name>.
ADD_MODALITY	"<modality>pickup</modality>! I want <quant>3</quant> pizzas actually, <quant>no</quant> drinks or anything else"
UPDATE_MODALITY	actually i was hoping to get it <modality>del[ivered]</modality>
MAKE_PIZZA	Okay then I will place a pick up order for a <size>large</size> <pizza_type>Hawaiian</pizza_type> pizza and a <beverage>coke</beverage>.
CONFIRM	Sure, sure let.s do that
DENY	want the <pizza_type>vegan</pizza_type> pizza with <topping>ham</topping> <topping>bacon</topping> <topping>sausage</topping> and <topping>pepperoni</topping>
INFORM	"Oh - CLASSIC. Alright, I’ll have <quant>one</quant> of those!"
ORDER_PREFERRED	could i reorder my usual pizza order
DEPART	You too.
CONFIRM	Yes shush for <quant>one</quant> second
UNDEFINED	No the dog doesn’t want to eat that missy
ADD_MODALITY	"<modality>take out</modality>, please"<
GREET	hi,
ORDER_PREFERRED	"i'd like to place another order for my usual pizza order, please"
INFORM	"Ok, not a big <topping_type>veggie</topping_type> guy, but that could be good. Let’s give it a shot."
THANK	Thanks <name>John</name>!!
UPDATE_ATTRIBUTE	on second thought can you make all of the large’s <crust>gluten free</crust>?
ADD_PERSONAL	use<name>loganv</name>, please
REQUEST	"Alright, are you ready?"
CONFIRM	Perfect. Perfect, let.s do it
UNDEFINED	"Cuz I've just been like calling different restaurants comparing prices yours look like you have the best pizzas, so I think I'm going to place an order with you, but I wanna kind of minimize the price. So I’m gonna go for just the toppings that are <cost>two dollars</cost> um"
ADD_ATTRIBUTE	And <topping>spinach</topping>
UNDEFINED	Did you get that?
REQUEST_LISTING	If you can have a <topping_type>milkless</topping_type> crust?
ADD_PAYMENT_ATTRIBUTE	And um uh my security code for that is <numeric>000</numeric> and the expiration is <numeric>12/12</numeric>.
MAKE_PIZZA	I need to place a <modality>delivery</modality> order for my son’s birthday party tonight at 6.   We need <quant>5</quant> <size>large</size> <pizza_type>pepperoni</pizza_type> and <quant>5</quant> <size>large</size> <pizza_type>cheese</pizza_type> pizzas, 2 liters of lemon soda, and 2 liters of cola.  And one order of breadsticks.  And the address is 54321 St Seattle.   The passcode for the gate is 1234#.
MAKE_PIZZA	Ummmm hang on let me ask. Okay I think . we want <topping>cheese</topping>, a <pizza_type>cheese</pizza_type> pizza, and a uh half <pizza_type>pepperoni</pizza_type> half <topping>mushroom</topping>?
MAKE_PIZZA	" <quant>Two</quant> <size>large</size> pizzas, can I get one with <topping>spinach</topping> and <topping>tomatoes</topping> and one with <topping>sausage</topping>? "
UNDEFINED	"Yeah um, they’re not necessarily better. Oh wow, the-the <topping_type>meat</topping_type> the <topping_type>meat</topping_type> toppings are even more expensive and wow okay so this is going to get expensive with <quant>seven</quant> pizzas, um, hmm."
CONFIRM	Yes
REQUEST_LISTING	Uh are you sure that you don.t have <side>pasta</side> cause I.m pretty sure that I.ve called a Domino.s before and they had <side>pasta</side>.
ADD_PERSONAL	My address is <address>12345 St</address>.  Did you get that?
GREET	Hello?
MAKE_PIZZA	Hi, do you--can I--can I get a <size>small</size> pizza, just <topping>cheese</topping>. And is your sauce like a flavorful--do you have like a spicy sauce and a super plain sauce like just tomato
GREET	"hi,"
MAKE_PIZZA	Okay I would like a <pizza_type>veggie supreme</pizza_type> pizza, with <topping>pineapple</topping>, too, on a <size>medium</size> <crust>gluten free</crust> crust.  And that will be all.
START_ORDERING	Hi, I'd like to order pizza today.
GREET	Hello?
START_ORDERING	hi uh i was coming to pick up an order of one <topping>pineapple</topping> and <topping>ham</topping> pizza
ADD_MODALITY	"<modality>pickup</modality>! my card information is <numeric>3334, 11/12, 555</numeric>, and my name is <name>Jimmy Doe</name>"
UPDATE_PERSONAL	it's <number>206-555-1234</number><
DENY	" Um no, I am – uhh that is, that is all."
ADD_PERSONAL	" Yes, <name>Angela</name>"
REQUEST_COST_OF	Okay, that's perfect. Thank you. And how much does that one cost?
ADD_MODALITY	"<modality>delivery</modality>, please"
ADD_MODALITY	 Beautiful. Pickup please! 
ADD_MODALITY	And I.ll get that for <modality>pickup</modality>.
REQUEST_LISTING	Do you have any <side>pasta</side>
ADD_PERSONAL	Okay, my card is <numeric>1234 1234 1234 1234</numeric>, the name is <name>John John</name>.  Can you have that delivered to <address>12345 St.</address>?
CHECK_ORDER_STATUS	can you, please look up my order?
MAKE_PIZZA	i'll take a uh <size>large</size> <pizza_type>veggie supreme</pizza_type>
THANK	thanks
THANK	 Thank you!
MAKE_PIZZA	"hi, can i get a <size>small</size> <pizza_type>4 cheese</pizza_type>, please ?"
ADD_PERSONAL	"Yeah for sure, so I'm right next to Greenlake, I'm at <address>555, um, Green Lake Avenue</address> (clears throat) and the zip code is <address>98103</address>"
